,artist,title,rating,url,chords
0,Justin Bieber,LOVE YOURSELF,4527.0,https://tabs.ultimate-guitar.com/j/justin_bieber/love_yourself_crd.htm,C G/B Am Dm C G/B C G/B Am Dm C G/B C G/B Am Dm C G/B C G/B Am Dm C G/B Am F C Am F C Am F C G Am F G C G Am F C G C C G Am F C G C C G/B Am Dm C G/B C G/B Am Dm C G/B C G/B Am Dm C G/B C G/B Am Dm C G/B Am F C Am F C Am F C G Am F G C G Am F C G C C G Am F C G C C G Am F C G C C G Am F C G C C G/B Am Dm C G/B C G/B Am Dm C G/B C G Am F C G C C G Am F C G C C G Am F C G C C G Am F C G C
1,Justin Bieber,SORRY,737.0,https://tabs.ultimate-guitar.com/j/justin_bieber/sorry_crd.htm,F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G Dm F G F Am G F Am G F Am G Dm F G F Am G F Am G F Am G F Am G F Am G F Am G F Am G F Am G Dm F G F Am G F Am G F Am G Dm F G F Am G F Am G F Am G Dm F G F Am G F Am G F Am G Dm F G F Am G F Am G
2,Drake Featuring WizKid & Kyla,ONE DANCE,113.0,https://tabs.ultimate-guitar.com/d/drake/one_dance_crd.htm,Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm C# Ebm Ebm Bbm Bbm Bbm Bbm Bbm Bbm C# C# C# Bbm C# Ebm Ebm
3,Rihanna Featuring Drake,WORK,86.0,https://tabs.ultimate-guitar.com/r/rihanna/work_crd.htm,Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D Am7 G/B Cadd9 D
4,twenty one pilots,STRESSED OUT,887.0,https://tabs.ultimate-guitar.com/t/twenty_one_pilots/stressed_out_crd.htm,Am C Dm E Em F G F Dm Am Am F Dm Am F Dm Am F Dm Am F Dm Am F Dm Am F Em Am Em Am G C E Am G C E Am G C E F Dm Am F Dm Am Am F Dm Am F Dm Am F Dm Am F Dm Am F Dm Am F Dm Am F Am C G F Am C E F Am C G F Am C E Am G C Em Am G C Em Am G C Em Am G C Em F Em Am Em Am G C E Am G C E Am G C E F Dm Am F Dm Am F Dm Am F Dm Am
5,Adele,HELLO,1032.0,https://tabs.ultimate-guitar.com/a/adele/hello_ver3_crd.htm,Em G D C Bm Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em G D C Em D Bm C Em D C Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em G D C Em G D C Em G D C Em G D C Em G D C Em D Bm C Em D C Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C D G Em C D G Em C D G Em C D G Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em G D C Em
6,The Chainsmokers Featuring Daya,DON'T LET ME DOWN,284.0,https://tabs.ultimate-guitar.com/t/the_chainsmokers/dont_let_me_down_crd.htm,D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m F#m F#m F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m F#m F#m F#m F#m F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m
7,Justin Timberlake,CAN'T STOP THE FEELING!,156.0,https://tabs.ultimate-guitar.com/j/justin_timberlake/cant_stop_the_feeling_ver2_crd.htm,C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am Bb/C C Bb/C C Ab/Bb Bb Fm7 Ab/Bb C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am Bb/C C Bb/C C Ab/Bb Bb Fm7 Ab/Bb C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am C Am F Am
8,The Chainsmokers Featuring Halsey,CLOSER,606.0,https://tabs.ultimate-guitar.com/t/the_chainsmokers/closer_ver2_crd.htm,Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D Cadd9 D Em7 D
9,Sia Featuring Sean Paul,CHEAP THRILLS,316.0,https://tabs.ultimate-guitar.com/s/sia/cheap_thrills_crd.htm,F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E
