,artist,title,rating,url,chords,top_1,top_2,top_3
0,Daniel Powter,BAD DAY,821.0,https://tabs.ultimate-guitar.com/d/daniel_powter/bad_day_ver2_crd.htm,D G A G D G A G D G A G Bm A G D Em A G A D G A G D G A G Bm A G D Em A D G Em A D G Em A Bm A G D Em A D G A G D G A G Bm A G D Em A D G Em A D G Em A Bm A G D Em A Em A F Bb F Bb A D G A G D G A D G Em A D G Em A Bm Bb D E G A D G Em A,F Bb,D E,Bb F
1,James Blunt,YOU'RE BEAUTIFUL,1552.0,https://tabs.ultimate-guitar.com/j/james_blunt/youre_beautiful_crd.htm,G G/F# Em7 Cadd9 G G/F# Em7 Cadd9 G G/F# Em7 Cadd9 G G/F# Em7 Cadd9 D/F# Cadd9 D/F# Em7 D/F# Cadd9 D/F# G Cadd9 D/F# G D/F# Em7 Cadd9 D/F# Em7 Cadd9 D/F# G G/F# Em7 Cadd9 G G/F# Em7 Cadd9 G G/F# Em7 Cadd9 Cadd9 D/F# Em7 D/F# Cadd9 D/F# G Cadd9 D/F# G D/F# Em7 Cadd9 D/F# Em7 Cadd9 D/F# G Cadd9 Em7 Cadd9 D/F# Cadd9 D/F# Cadd9 D/F# Em7 D/F# Cadd9 D/F# G Cadd9 D/F# G D/F# Em7 Cadd9 D/F# G D/F# Em7 Cadd9 D/F# Em7 Cadd9 D/F# G,G G/F#,G/F# Em7,Em7 Cadd9
2,Shakira Featuring Wyclef Jean,HIPS DON'T LIE,55.0,https://tabs.ultimate-guitar.com/s/shakira/hips_dont_lie_ver2_crd.htm,Am F G Em F G Am Am F G Em F G Am F G Em F G Am Am Am Am Am Am Am Am Am Am Am Am F G Em F G Am Am F G Em F G Am F G Em F G Am Am F G Em F G Am Am Am Am Am Am Am Am Am Am Am G Am G Am Am F G Em F G Am Am F G Em F G Am Am Am Am Am Am Am Am Am F G Em F G Am F G Em F G Am,Em F,F G,G Em
3,Natasha Bedingfield,UNWRITTEN,65.0,https://tabs.ultimate-guitar.com/n/natasha_bedingfield/unwritten_ver4_crd.htm,Bm: C: Cadd9: D: Dsus2: Em: Em7:022033 G: D Cadd9 Bm C D Em7 Cadd9 Bm Em G D Bm Em G Dsus2 Bm Em G D Bm Em G D D D,Bm: C:,Dsus2: Em:,Cadd9: D:
4,Gnarls Barkley,CRAZY,1204.0,https://tabs.ultimate-guitar.com/g/gnarls_barkley/crazy_ver4_crd.htm,Am Cmaj7 F Esus E Am Cmaj7 F Esus E Am C F Esus E A F Cmaj7 Esus E Am C F Esus E Am Cmaj7 F Esus E A F Cmaj7 Esus E Am C F Esus E Am Cmaj7 F Esus E,E A,Am C,Esus E
5,Chamillionaire Featuring Krayzie Bone,RIDIN',9.0,https://tabs.ultimate-guitar.com/c/chamillionaire/ridin_dirty_crd.htm,G D Em C G D Em C G D Em C G D Em C,D Em,G D,Em C
6,Justin Timberlake,SEXYBACK,17.0,https://tabs.ultimate-guitar.com/j/justin_timberlake/sexyback_crd.htm,A A# A A# A A A A# A A Ab A A# A Ab A,Ab A,A Ab,A A#
7,Beyonce Featuring Slim Thug,CHECK ON IT,21.0,https://tabs.ultimate-guitar.com/tab/939080,Em Em Bm C Bm Am Bm C Bm Am Em Em Em Bm C Bm Am Bm C Bm Am Em Em Am Bm Em Am Bm Em Am Bm Em Am D#dim Em Bm C Bm Am Bm C Bm Am Em Em,Am D#dim,D#dim Em,C Bm
8,Mary J. Blige,BE WITHOUT YOU,5.0,https://tabs.ultimate-guitar.com/m/mary_j_blige/be_without_you_ver2_crd.htm,Dm G C A7 Fm Dm G C A7 Dm G C A7 Dm G C A7 Dm G C A7 Dm G C A7 G Fm G Fm A7 Dm G C A7 Dm G C A7 Dm G C A7 Dm G C A7,C A7,G C,Dm G
9,The Fray,OVER MY HEAD (CABLE CAR),66.0,https://tabs.ultimate-guitar.com/t/the_fray/over_my_head_cable_car_crd.htm,C* Em* G Am D C Em D* Am* C* Em* G C* Em* G C* Em* G Am G D C% Em* G C% Em* G C% Em* G C% Am D C G Em G C G Em D* C G Em G C G Em D* C% Em* G Em* G C% Em* G C% Em* G C% Em* G Am* G D C% Em* G C% Em* G C% Em* G Am G D C G Em G C G Em D* C G Em G C G Em D* C G Em G C G Em D* C G Em G C G Em D* C% Em* G C% Em* G C% Em* G Am* C% Em* G C% Em* G C* Em* G Am G Am* C G Em G C G Em D* C G Em G C G Em D* C% Em* G C% Em* G C% Em* G C% Em* G C G Em G C G Em D* C G Em G C G Em D* C% Em* G C% Em* G C% Em* G C% Em* G C*,Am D,D C,Em D*
