,artist,title,rating,url,chords
0,Robin Thicke Featuring T.I. + Pharrell,BLURRED LINES,66.0,https://tabs.ultimate-guitar.com/r/robin_thicke/blurred_lines_ver2_crd.htm,F C F F C F F F F C C C F F F F C C C F F F F C C C F F F F C C C
1,Imagine Dragons,RADIOACTIVE,7244.0,https://tabs.ultimate-guitar.com/i/imagine_dragons/radioactive_crd.htm,Am C G D Am C G D Am C G D Am C G D D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D D Am C G D Am C G D Am C G D Am C G D
2,Justin Timberlake,MIRRORS,456.0,https://tabs.ultimate-guitar.com/j/justin_timberlake/mirrors_ver2_crd.htm,Bm D A G Em Bm A Em G Bm A Em G Bm A Em G Bm A Em G Bm A Em G Bm A Em G D A G D A G D A Em Bm D A G D A G D A G D A Em Bm D A G Bm A Em G Bm A Em G Bm A Em G Bm A Em G Bm A Em G Bm A Em G D A G D A G D A Em Bm D A G D A G D A G D A Em Bm D A G Em Bm Em Bm A Em Bm G A D A G D A G D A Em Bm D A G D A G D A G D A Em Bm D A G D A G D A G Bm A G D A G Bm A Em G Bm A Em G Bm A Em G Bm A Em G Bm A Em G
3,P!nk Featuring Nate Ruess,JUST GIVE ME A REASON,1317.0,https://tabs.ultimate-guitar.com/p/pnk/just_give_me_a_reason_crd.htm,Em A D G C G D G C Em C G G C Em C G Em A D G Em A D G Em A D G C G Dsus D G D/F# Em C D G D/F# Em Bm D G G C Em C G G C Em C G Em A D G Em A D G Em A D G C G D/F# C G D G D/F# Em C D G D/F# Em Bm D Em Em D/F# C D Em D/F# C D Dsus G D/F# Em C D G D/F# Em Bm D G G D/F# Em C D G D/F# Em Em C D Em A D G C G D G
4,Bruno Mars,WHEN I WAS YOUR MAN,5054.0,https://tabs.ultimate-guitar.com/b/bruno_mars/when_i_was_your_man_crd_1198871id_04122012date.htm,D7 Dm C D7 Dm C G/B Am C Dm G G7 C Em/B Am C Dm G C Em Am Em Bb C/G G F G C F G C F G Am D7 F Fm C F C Em/B Am C Dm G G7 C Em/B Am C Dm G C Em/B Am Em Bb C/G G F G C F G C F G Am D7 F Fm C F G C G/B Am Em/G D7 Dm G F G C F G C F G Am D7 F Fm C D7 F Fm C
5,Florida Georgia Line Featuring Nelly,CRUISE,406.0,https://tabs.ultimate-guitar.com/f/florida_georgia_line/cruise_crd.htm,"G, D, Em7, C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G D Em7 C G"
6,Katy Perry,ROAR,942.0,https://tabs.ultimate-guitar.com/k/katy_perry/roar_crd.htm,G Am G Am Em C G Am Em C G Am Em C G Am Em C G Em C G Em C G Em C G G Am Em C G Am Em C G Am Em C G Em C G Em C G Em C G Em C G Am Em D D D D D D G Em C G Em C G Em C G Em C G
7,Bruno Mars,LOCKED OUT OF HEAVEN,250.0,https://tabs.ultimate-guitar.com/b/bruno_mars/locked_out_of_heaven_ver2_crd_1188101id_12102012date.htm,C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm F Gm F A Bb Gm F C Bb Gm F C C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm C Dm C Bb F Gm F A Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C C Dm C Bb F Gm C Dm C Bb F Gm C Dm
8,The Lumineers,HO HEY,3157.0,https://tabs.ultimate-guitar.com/t/the_lumineers/ho_hey_crd.htm,F/C C F/C C F/C C C F/C C C F/C C C F/C C C F/C Am Am G F/C C F/C C C F/C C C F/C C C F/C C C Am Am G F/C C Am G C Am G F/C C F/C C F/C C F/C C F/C C F/C C C F/C C C F/C C C Am G F/C C Am G F/C C Am G C Am G C F/C C G C F/C C Gsus G F/C C G C Am G C Am G F/C C F/C C F/C C F/C C
9,Rihanna Featuring Mikky Ekko,STAY,1726.0,https://tabs.ultimate-guitar.com/r/rihanna/stay_crd.htm,C Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G F Dm Am F Dm G C Dm Am F C Dm Am F C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G C Dm Am Am7/G Am Am7/G Am Am7/G F Dm Am Am7/G Am Am7/G F Dm G C Dm Am F C Dm Am F C Dm Am Am7/G Am Am7/G Am Am7/G F Am Dm Em F Am Dm Dm F Am Dm F G C Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F
