,artist,title,rating,url,chords,top_1,top_2,top_3
0,Pharrell Williams,HAPPY,176.0,https://tabs.ultimate-guitar.com/p/pharrell_williams/happy_crd.htm,F7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 F7 Fm7 Bb C Bb7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 F7 F7 F7 F7 F7 F7 F7 F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Bb7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 F7 F7 F7 F7 F7 F7 F7 F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7 Db Db Cm Cm7 G F7,Fm7 Bb,Bb C,C Bb7
1,Katy Perry Featuring Juicy J,DARK HORSE,242.0,https://tabs.ultimate-guitar.com/k/katy_perry/dark_horse_ver2_crd.htm,F C Am G F C Am G* Am G F Am G F Am G F Am G F Am G F Am Am G F Am Am G F Am G C* F* C* Am* G* F* C* Am* G* F C Am G F C Am G Am....G..F. Am G F Am G F Am G F Am G F Am G F Am Am G F Am Am G F Am G Am F* C* Am* G* F* C* Am* G* F C Am G F C Am G Am G F Am G F Am G F Am G F Am G* Am G* Am G F* Am G F Am G F C F Am G Am C G F Am C Am G Am C G Am F C Am G F C Am G F C Am G F C Am G,C* Am*,F* C*,Am* G*
2,John Legend,ALL OF ME,7709.0,https://tabs.ultimate-guitar.com/j/john_legend/all_of_me_crd.htm,Em C G D Em Cmaj7 G D Em C G D Em Cmaj7 G D Em Cadd9 G D Amadd9 Am G D Amadd9 G D G Emadd9 Am/C C/D D G Emadd9 Am/C C/D D Em C G Dadd9 Em C G Dadd9 Em C G D Em C G D Em C G D Em C G D Am Am G D Amadd9 G D G Emadd9 Am/C C/D D G Emadd9 Am/C C/D D Em C G Dadd9 Em C G Dadd9 Am G D Amadd9 Am G D G Emadd9 Am/C C/D D G Emadd9 Am/C C/D D Em C G Dadd9 Em C G Dadd9 Em C G D Em C G D,Emadd9 Am/C,Am/C C/D,Amadd9 Am
3,Iggy Azalea Featuring Charli XCX,FANCY,24.0,https://tabs.ultimate-guitar.com/i/iggy_azalea/fancy_crd.htm,C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am C Em Am,Em Am,C Em,Am C
4,OneRepublic,COUNTING STARS,2966.0,https://tabs.ultimate-guitar.com/o/onerepublic/counting_stars_ver2_crd.htm,Am C G F Am C G F Am C G F Am C G F F Am C G F Am C G F Am C G F Am C G F F F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F F F Am C G F Am C G F Am C G F Am C G F F Dm Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F,Dm Am,Am C,C G
5,Jason Derulo Featuring 2 Chainz,TALK DIRTY,8.0,https://tabs.ultimate-guitar.com/j/jason_derulo/talk_dirty_crd.htm,F# F# E G F) E F E E F E E F E E F E E F F F F E E F F F F E E F F F F E E E E F E E E F E E F E E F E E F E E F F F F E E F F F F E E F F F F E E E E F F F F E E F F F F E E F F F F E E E E F F F F E E F F F F E E F F F F E E E,G F),F# F#,E G
6,MAGIC!,RUDE,1308.0,https://tabs.ultimate-guitar.com/m/magic/rude_ver2_crd.htm,C D Em Em C D Em Em C D G Em C D G Em C D G/B Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G/B Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G/B Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em,D G,C D,D G/B
7,Meghan Trainor,ALL ABOUT THAT BASS,347.0,https://tabs.ultimate-guitar.com/m/meghan_trainor/all_about_that_bass_crd.htm,A A Bm E A A Bm E A A Bm Bm E A D A A Bm E A A Bm E D A A A Bm E A A Bm E A E A A Bm E A A Bm E D A A A Bm E A A A Bm E A A A Bm E A,Bm E,E D,D A
8,Ariana Grande Featuring Iggy Azalea,PROBLEM,80.0,https://tabs.ultimate-guitar.com/a/ariana_grande/problem_crd.htm,E F# B E F# G# E F# B E F# G#m E F# B E F# G#m G#m G#m G#m G#m G#m G#m G#m G#m E F# B E F# G#m E F# B E F# G#m E F# B E F# G#m G#m G#m G#m G#m G#m G#m G#m G#m E F# B E F# G#m E F# B E F# G#m G#m G#m G#m G#m G#m G#m G#m G#m,F# G#,B E,G# E
9,Sam Smith,STAY WITH ME,2359.0,https://tabs.ultimate-guitar.com/s/sam_smith/stay_with_me_crd.htm,Am7 F C Am7 F C Am7 F C Am7 F C Am7 F C Am7 Gsus C Am F C Am F C G Am F C G#dim Am F C Am7 F C Am7 F C Am7 F C Am7 Gsus C Am F C Am F C G Am F C G#dim Am F C Am F C Am F C G Am F C G#dim Am F C Am F C Am F C G Am F C G#dim Am F C Am F C Am F C G Am F C G#dim Am F C,Am7 Gsus,C G,G Am
10,Pitbull Featuring Ke$ha,TIMBER,22.0,https://tabs.ultimate-guitar.com/p/pitbull/timber_crd.htm,Em G D C Em G D C Em G D C Em G D C,Em G,G D,D C
11,Bastille,POMPEII,2496.0,https://tabs.ultimate-guitar.com/b/bastille/pompeii_ver3_crd_1227805id_04032013date.htm,C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G D C G D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G D C G D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G D C G D C G Em D C G Em D,Em D,C G,G Em
12,Taylor Swift,SHAKE IT OFF,696.0,https://tabs.ultimate-guitar.com/t/taylor_swift/shake_it_off_crd.htm,G Am C G Am C G Am C G G Am C G Am C G Am* C* G Am C G Am C G G*/mute Am C G Am C G Am C G Am C G G Am C G G*/mute Am C G Am C G Am C G Am C G Am C G,Am* C*,G*/mute Am,Am C
13,Nico & Vinz,AM I WRONG,113.0,https://tabs.ultimate-guitar.com/n/nico_vinz/am_i_wrong_crd.htm,Cm Ab Fm Bb Cm Ab Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb Cm Ab Fm Bb Cm Ab Bb,Fm Bb,Ab Fm,Cm Ab
14,Eminem Featuring Rihanna,THE MONSTER,54.0,https://tabs.ultimate-guitar.com/e/eminem/the_monster_crd.htm,Am G F Am G F Am G F Am G F Am G F C#m B A C#m B A C#m B A C#m B A C#m B A,G F,Am G,B A
