,artist,title,rating,url,chords,top_1,top_2,top_3
0,Ke$ha,TIK TOK,60.0,https://tabs.ultimate-guitar.com/k/keha/tik_tok_crd.htm,Bb C Dm Bb C Dm Bb C Dm Bb C Dm Bb C Dm Bb Bb C Dm Bb Bb C Dm Bb C Dm Bb C Dm Gm C Bb C Dm Bb C Dm Bb C Dm Bb C Dm Bb C Dm Bb Bb C Dm Bb Bb C Dm Bb C Dm Bb C Dm Gm C Bb Gm Dm C Bb Dm C,C Dm,Bb C,Dm Bb
1,Lady Antebellum,NEED YOU NOW,648.0,https://tabs.ultimate-guitar.com/l/lady_antebellum/need_you_now_crd.htm,F Am F Am F Am F Am F F C Em C Em F F F Am F Am F Am F Am F F C Em C Em F F Am G/B C Em F Gsus G F Am G C Em C Em F F C Em C Em C Em C Em C,Gsus G,Am G,Am G/B
2,Train,"HEY, SOUL SISTER",3336.0,https://tabs.ultimate-guitar.com/t/train/hey_soul_sister_ver2_crd.htm,C G Am F C G Am F C G Am F G C G Am F C G Am F G F G C G F G C G F G C G F G C G Am F C G Am F C G Am F G C G Am F C G Am F G F G C G F G C G F G C G F G C C G Am F C G Am F G F G C G F G C G F G C G F G F G C G F G C G Am F G C G Am F G C,Am F,G Am,C G
3,Katy Perry Featuring Snoop Dogg,CALIFORNIA GURLS,39.0,https://tabs.ultimate-guitar.com/k/katy_perry/california_gurls_ver3_crd.htm,D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm A Bm G A Bm G D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm A Bm G A Bm G D/F# G A Bm D/F# G A Bm D/F# G A Bm D/F# G A Bm,A Bm,D/F# G,G A
4,Usher Featuring will.i.am,OMG,42.0,https://tabs.ultimate-guitar.com/u/usher/omg_ver2_crd.htm,Bm7: Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Em D Em D Em Bm7 C Em Bm7 Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Em D Em D Bm7 C Bm7 C Em Bm7 Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C Em D Bm7 C,Bm7 C,Em D,Bm7: Em
5,B.o.B Featuring Hayley Williams,AIRPLANES,197.0,https://tabs.ultimate-guitar.com/b/b_o_b/airplanes_ver3_crd_944609id_29042010date.htm,Em G C Am Em G C Am Em G C Am Em G C Am Em C G Em C G Em C G Em C G Em C G Em C G Em C G Em C G Em G C Am Em G C Am Em G C Am Em G C Am Em C G Em C G Em C G Em C G Em C G Em C G Em C G Em C G Em G C Am Em G C Am Em G C Am Em G C Am,C Am,Am Em,Em C
6,Eminem Featuring Rihanna,LOVE THE WAY YOU LIE,143.0,https://tabs.ultimate-guitar.com/e/eminem/love_the_way_you_lie_ver4_crd.htm,E A D G B B| A| Em C G D Em C G D Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11 Em C G Dadd11,E A,B B|,B| A|
7,Lady Gaga,BAD ROMANCE,45.0,https://tabs.ultimate-guitar.com/l/lady_gaga/bad_romance_ver3_crd.htm,Am C G F E Em Am Am C Em Am C Em Am C G Am C F Am C G Am C F Am C G Am C F Am C G Am C F Am G F F G Am C F G E Am F G Am C F G E Am Am C Em Am C Em Am C G Am C F Am C G Am C F Am C G Am C F Am C G C F Am C G F F G Am C F G E Am F G Am C F G E Am Am C Em Am C Em Am C G Am C G F F G Am C F G E Am F G E Am F G E Am F G E Am F G E Am F G E F G Am C F G E Am F G Am C F G E Am Am C Em Am C Em Am C G,G E,C Em,Em Am
8,Taio Cruz,DYNAMITE,275.0,https://tabs.ultimate-guitar.com/t/taio_cruz/dynamite_crd.htm,Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Em Am F G Em Am F G Em Am F G Em Am F G Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F Am G C F,G C,Em Am,C F
9,Taio Cruz Featuring Ludacris,BREAK YOUR HEART,29.0,https://tabs.ultimate-guitar.com/t/taio_cruz/break_your_heart_ver4_crd.htm,Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C G Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Am F C Em Am F C Em Am F C Em Am F C Em Am F C G Em Am F C Em Am F C Em Am F C Em Am F C Em Am F Em Am F C Em Am F C Em Am F C G Em Am F C Em Am F C Em Am F C Em Am F C G Em Am F C Em Am F C Em Am F C Em Am F C Em Am F C Em,C G,G Em,Am F
