,artist,title,rating,url,chords,top_1,top_2,top_3
78,Chris Brown,SHE AIN'T YOU,6.0,https://tabs.ultimate-guitar.com/c/chris_brown/she_aint_you_crd.htm,"Gmaj7, A, Fmaj7, D/Em7 Gmaj7 A Fmaj7 D/Em7 Em7 Gmaj7, A, Fmaj7, D/Em7 A Fmaj7 Em7 Gmaj7 A Fmaj7 Em7 Gmaj7-A Fmaj7-Em7 Gmaj7 A Fmaj7-Em7 Gmaj7-A Fmaj7-Em7 Gmaj7-A Fmaj7 Em7 Gmaj7-A Fmaj7-Em7 Gmaj7-A Fmaj7 Em7 A Fmaj7 Em7 Gmaj7 A Fmaj7 Em7 Gmaj7 A Fmaj7 Em7 Gmaj7 A Fmaj7 Em7 Gmaj7-A Gmaj7, A Gmaj7-A.","A, Fmaj7,","Gmaj7, A,","Fmaj7, D/Em7"
79,Rodney Atkins,TAKE A BACK ROAD,41.0,https://tabs.ultimate-guitar.com/r/rodney_atkins/take_a_back_road_crd.htm,D Asus4 G Em7 Dadd9 D Asus4 D Asus4 G G D Asus4 G G D Asus4 G G Asus4 D Asus4 Em7 Dadd9 G Asus4 D Asus4 Em7 Dadd9 G G G D Asus4 G G D Asus4 G G D Asus4 Em7 Dadd9 G Asus4 D Asus4 Em7 Dadd9 G Asus4 D Asus4 Em7 Dadd9 G G G D Asus4 G G D Asus4 G G G D Asus4 Em7 Dadd9 G Asus4 D Asus4 Em7 Dadd9 G G G D Asus4 G G D Asus4 G G D,Em7 Dadd9,D Asus4,Asus4 Em7
80,Mike Posner,PLEASE DON'T GO,76.0,https://tabs.ultimate-guitar.com/m/mike_posner/please_dont_go_crd.htm,C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C Em G Am C,Em G,G Am,C Em
81,Miguel,SURE THING,52.0,https://tabs.ultimate-guitar.com/m/miguel/sure_thing_ver2_crd.htm,Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7 Dmaj F#m C#m7 Bm7,Dmaj F#m,C#m7 Bm7,F#m C#m7
82,Jessie J Featuring B.o.B,PRICE TAG,388.0,https://tabs.ultimate-guitar.com/j/jessie_j/price_tag_ver2_crd.htm,C Em Am F C Em Am Am F F C Em Am Am F F C Em Am Am F C Em Am F C Em Am F C Em Am F F C Em Am F F C Em Am F C Em Am F C Em Am F F C C Em Am Am F C Em Am F C C Em Am F F C Em Am F F C Em Am Em,C Em,Em Am,F C
83,Blake Shelton,GOD GAVE ME YOU,270.0,https://tabs.ultimate-guitar.com/b/blake_shelton/god_gave_me_you_crd_1082947id_10082011date.htm,G D Bm A G D Bm A G D Bm A G D Bm A Em G G D Bm A G D Bm A G D Bm A Em G A G D Bm A G D Bm A G D Bm A G D Bm A G D Bm A Em G G D Bm A G D Bm A G D Bm A Em G A Bm G D A Bm G D A G D Bm A G D Bm A G D Bm A G D Bm A G D Bm A Em G A G D Bm A G D Bm A G D Bm A G D Bm A G,D Bm,A Em,Bm A
84,Thompson Square,ARE YOU GONNA KISS ME OR NOT,23.0,https://tabs.ultimate-guitar.com/t/thompson_square/are_you_gonna_kiss_me_or_not_crd.htm,G C G D G C D C D G C D D G C D D C D G C G D G C D C D G C D D G C D C D G C D C G C AM D G C D D G C D D C D(LET G C D D C D(LET G C G D G,D(LET G,C D(LET,C AM
85,Neon Trees,ANIMAL,131.0,https://tabs.ultimate-guitar.com/n/neon_trees/animal_ver4_crd.htm,D A G A G D A G A G D A G D F#m G A D D A G A G D A G A D A G D F#m G A G G A G D A G D A Bm Bm D A G D D D A Bm G D A D F#m G A D,Bm Bm,D F#m,F#m G
86,Kenny Chesney Featuring Grace Potter,YOU AND TEQUILA,135.0,https://tabs.ultimate-guitar.com/k/kenny_chesney/you_and_tequila_ver3_crd.htm,G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G D G D G Bm Em C D G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G Bm C G D G D G Bm Em C D Em Em A Em C G Bm C D G D G Bm Em C D G Bm C G Bm C,A Em,Em A,Bm C
87,Zac Brown Band,COLDER WEATHER,754.0,https://tabs.ultimate-guitar.com/z/zac_brown_band/colder_weather_crd.htm,G G D G G D G G A G A D G A D G A D G Em Em A D G D G D G D A G D G D G D A G A D G A D G A D G Em Em A D G D G D G D A G D G D G D A G D A D G D A G D G D G D A G G D G G D G G D A G D G D G D A G D G D G D A G D G D G D A G D G G D G G D G G D A D,Em Em,Em A,G D
88,Big Sean Featuring Chris Brown,MY LAST,3.0,https://tabs.ultimate-guitar.com/b/big_sean/my_last_crd_1109505id_21112011date.htm,"E B C#m A E B C#m A E B C#m A E B C#m A E B C#m A E B C#m A E, B, C#m, A, E, B, E, B, C#m, A, E, B, C#m, A E, B, C#m, A, E, B, C#m, A E B C#m A E, B, C#m, A, E, B, C#m, A E B C#m A E, B, C#m, A, E, B, C#m, A",E B,B C#m,A E
