,artist,title,rating,url,chords,top_1,top_2,top_3
0,Gotye Featuring Kimbra,SOMEBODY THAT I USED TO KNOW,790.0,https://tabs.ultimate-guitar.com/g/gotye/somebody_that_i_used_to_know_ver3_crd.htm,Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G Am G F G Am G F G Am G F G Am G F G Am G F G Am G F G Am G F G Am G Am G Am G Am G Am G Am G F G Am G Am G F Am G F Am G F Am G F Am G Am G F G Am G F G Am G F G Am G F G Am G F G Am G F G Am G F G Am G Am G F G Am G F G Am G F G Am G F G,Am G,G F,G Am
1,Carly Rae Jepsen,CALL ME MAYBE,302.0,https://tabs.ultimate-guitar.com/c/carly_rae_jepsen/call_me_maybe_crd.htm,G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D G Em C D,Em C,C D,G Em
2,fun. Featuring Janelle Monae,WE ARE YOUNG,512.0,https://tabs.ultimate-guitar.com/f/fun/we_are_young_ver3_crd.htm,F Dm B C F Dm B C C B C Dm C B B C F Dm B C F Dm B C F Dm B C F Dm B C F Dm B C F Dm F C F Dm F C F Dm B C F Dm B C F Dm B C F Dm B C C B C Dm C B B C,F Dm,Dm B,B C
3,Maroon 5 Featuring Wiz Khalifa,PAYPHONE,406.0,https://tabs.ultimate-guitar.com/m/maroon_5/payphone_ver3_crd.htm,E A D G B E E A D G B E E A D G B E Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9 G Em7 Dsus4 Cadd9,A D,B E,E A
4,Ellie Goulding,LIGHTS,223.0,https://tabs.ultimate-guitar.com/e/ellie_goulding/lights_ver5_crd.htm,"Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em D C Am Em Em, D, C, Am Em D C Am Em D C Am Em D C Am Em D C Am","D, C,","Em, D,",D C
5,The Wanted,GLAD YOU CAME,219.0,https://tabs.ultimate-guitar.com/t/the_wanted/glad_you_came_crd.htm,C G Em D C G Em D C Em C Em C Em C Em C Em C Em C Em C Em C Em C Em C Em C D C G Em D C G Em D C,G Em,D C,C G
6,Kelly Clarkson,STRONGER (WHAT DOESN'T KILL YOU),118.0,https://tabs.ultimate-guitar.com/k/kelly_clarkson/stronger_what_doesnt_kill_you_crd.htm,Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Am Em C D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D,Am Em,Em C,D Am
7,Rihanna Featuring Calvin Harris,WE FOUND LOVE,283.0,https://tabs.ultimate-guitar.com/r/rihanna/we_found_love_crd.htm,Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G,Am F,C G,F C
8,Nicki Minaj,STARSHIPS,79.0,https://tabs.ultimate-guitar.com/n/nicki_minaj/starships_ver3_crd.htm,"C, G, F, Am, Em C, G, F, Am, Em, F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am C Am C Am C Am C Am C, Am, C, Am, C, Am C Am C, G, F, Am, Em, F A G, A G,G,G! C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F C G F Am Em F","A G,G,G!",F A,"A G,"
9,One Direction,WHAT MAKES YOU BEAUTIFUL,215.0,https://tabs.ultimate-guitar.com/o/one_direction/what_makes_you_beautiful_ver5_crd.htm,C F G C F G C F G C F G C F G C F Am G C F C F G C F G C F Am G C Am G C F G C F G C F Am G C F Am G C F G C F Am G C F G C F G C F G C F G C F Am G C F C F G C F G C F Am G C Am G C F G C F G C F Am G C F Am G C F C F Am G C F F G F G F G Am C F G C F G C F Am G C Am G C F G C F G C F Am G C F Am G C F G,Am G,C F,G C
