,artist,title,rating,url,chords,top_1,top_2,top_3
0,Flo Rida Featuring T-Pain,LOW,10.0,https://tabs.ultimate-guitar.com/f/flo_rida/low_crd.htm,Am G F E C'mon,G F,Am G,E C'mon
1,Leona Lewis,BLEEDING LOVE,104.0,https://tabs.ultimate-guitar.com/l/leona_lewis/bleeding_love_ver4_crd.htm,C Am F G C Am F G C Am F G C Am F G,Am F,C Am,F G
2,Alicia Keys,NO ONE,115.0,https://tabs.ultimate-guitar.com/a/alicia_keys/no_one_ver2_crd.htm,C G Am Dm F C G Am Dm F C C G Am Dm F C C G Am Dm F C C G Am Dm F C C G Am Dm F C G Am Dm F C G Am Dm F C G Am Dm F C C G Am Dm F C C G Am Dm F C C G Am Dm F C C G Am Dm F C G Am Dm F Dm Am G Dm Am G Dm Am C Dm C G C G Am Dm F C C G Am Dm F C G Am Dm F C G Am Dm F C,Dm F,G Am,Am Dm
3,Lil Wayne Featuring Static Major,LOLLIPOP,18.0,https://tabs.ultimate-guitar.com/l/lil_wayne/lollipop_crd.htm,Dm F C G Dm F C G,C G,F C,Dm F
4,Timbaland Featuring OneRepublic,APOLOGIZE,111.0,https://tabs.ultimate-guitar.com/t/timbaland/apologize_ver2_crd.htm,Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am Am F C G Am F C G Am F C G Am F C G Am F C,C G,F C,Am F
5,Sara Bareilles,LOVE SONG,232.0,https://tabs.ultimate-guitar.com/s/sara_bareilles/love_song_ver4_crd.htm,Em G Bm D Em G Bm D Em G Bm D Em G Bm D Em D G A Em D G Em A D G Em A D G Em D Bm E G A Em G Bm D Em G Bm D Em G Bm D Em G Bm D Em G Bm D Em D G A Em D G Em A D G Em A D G Em D Bm E G A Em G Bm D Bm F#m G D A Bm F#m G D A Bm F# G A Em A D G Em A D G Em D Bm E G A Em G Bm D G A Bm F# G A Em G Bm D,Bm F#,Bm E,Bm F#m
6,Usher Featuring Young Jeezy,LOVE IN THIS CLUB,15.0,https://tabs.ultimate-guitar.com/u/usher/love_in_this_club_crd.htm,C C/B Am F C Em Am F,C Em,C C/B,Am F
7,Chris Brown,WITH YOU,113.0,https://tabs.ultimate-guitar.com/c/chris_brown/with_you_ver4_crd.htm,D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A G A F#m7 G G A F#m7 G G A Bm A G G D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A G A Bm A G A G D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A G A Bm F#m7 G G G A Bm F#m7 G G G A Bm F#m7 G G G A Bm F#m7 G G D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A G A Bm F#m7 G A Bm A G G Bm Bm Bm G G Bm A G G Bm Bm G G Bm Bm G G Bm Bm G G Bm Bm G G A A G G A A G G A A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A D A G A G A Bm F#m7 A) G A Bm F#m7 G A Bm F#m7 G A Bm F#m7 Bm D),F#m7 A),Bm D),Bm F#m7
8,Chris Brown,FOREVER,22.0,https://tabs.ultimate-guitar.com/c/chris_brown/forever_ver4_crd.htm,"E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E B F# C#M E,B,F#,C#M",C#M E,B F#,"C#M E,B,F#,C#M"
9,Rihanna,TAKE A BOW,237.0,https://tabs.ultimate-guitar.com/r/rihanna/take_a_bow_crd.htm,C G Am7 F C G/B Bbsus2 C G Am7 F C G Am7 F C G Am7 F C G/B Bbsus2 C G Am7 F C G Bbsus2 C G Am7 F C G Am7 F C G Am7 F Dm7 C/E F F C/E Bbsus2 C G Am7 F C G Am7 F C G Am7 F C G/B Bbsus2 C G Am7 F C G Bbsus2 C G Am7 F C G Am7 F C G Am7 F Dm7 C/E F F C/E Bbsus2 Fadd9 G Am7 Dm7 C/E Fadd9 G Am7 Bbsus2 C G Am7 F C G/B Bbsus2 C G Am7 F C G Am7 F C G Am7 F Dm7 C/E F F C/E Bbsus2 Dm7 C/E F,Dm7 C/E,G/B Bbsus2,C/E Fadd9
10,Coldplay,VIVA LA VIDA,2791.0,https://tabs.ultimate-guitar.com/c/coldplay/viva_la_vida_crd.htm,D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E C#m F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E C#m F#m D F#m D F#m D F#m E E D E A F#m D E A F#m D E A F#m D E A F#m D E A F#m D E C#m F#m D E C#m F#m D E C#m F#m,E A,E C#m,A F#m
11,Katy Perry,I KISSED A GIRL,225.0,https://tabs.ultimate-guitar.com/k/katy_perry/i_kissed_a_girl_crd.htm,Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F Am C Dm F,Am C,C Dm,Dm F
12,T.I.,WHATEVER YOU LIKE,12.0,https://tabs.ultimate-guitar.com/t/t_i_/whatever_you_like_ver3_crd.htm,,,,
13,Rihanna,DISTURBIA,78.0,https://tabs.ultimate-guitar.com/r/rihanna/disturbia_crd.htm,Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F,G F,C G,Am C
14,Rihanna,DON'T STOP THE MUSIC,27.0,https://tabs.ultimate-guitar.com/r/rihanna/dont_stop_the_music_crd.htm,C Em C Em C Em C Em C Em C Em C Em C Em C Em C Em,,,
15,Natasha Bedingfield,POCKETFUL OF SUNSHINE,24.0,https://tabs.ultimate-guitar.com/n/natasha_bedingfield/pocketful_of_sunshine_ver3_crd.htm,Am G F Am G F Am C A G A F Am C G F A Am G F Am G F Am G F Am G F Am C A G A F Am C G F A Am C G F Am C G F Am C A G A F Am C G F A Am C A G A F Am C G F A Am C A G A F Am C G F A Am C G F Am C G F,F A,Am C,G F
16,Chris Brown Featuring T-Pain,KISS KISS,19.0,https://tabs.ultimate-guitar.com/c/chris_brown/shouldve_kissed_you_ver3_crd.htm,D A Em G D A Em G D A Em G D A Em G D A Em G D A Em G D A Em G D A Em G D A Em G D A G D A Em G D A G D A Em G D A Em G D A Em G D A Em G,Em G,A Em,D A
