,artist,title,rating,url,chords,top_1,top_2,top_3
0,Beyonce,IRREPLACEABLE,204.0,https://tabs.ultimate-guitar.com/tab/971852,G D Am C G D Am C G D Am C C Em C Em D G D Am C G D Am C D G D Am C G D Am C C Em C Em D G D Am C G D Am C D C D G G/F# Em D Am7 Am C D G D Am7 C G D Am7 Am7 D G D Am C G D Am C G D Am C G D Am C D G,G/F# Em,Am7 Am7,G G/F#
1,Rihanna Featuring Jay-Z,UMBRELLA,399.0,https://tabs.ultimate-guitar.com/r/rihanna/umbrella_ver5_crd.htm,F C E Am F C E Am F F C G Am F C G Am F G/C E Am F G/C E Am F C E Am F C E Am F F C G Am F C G Am F G/C E Am F G/C E Am Bb F C Bb F E F F G/C E Am F G/C E Am F C/G E Am F G/C E Am F G/C E Am F G/C E Am,C G,C E,G/C E
2,Gwen Stefani Featuring Akon,THE SWEET ESCAPE,30.0,https://tabs.ultimate-guitar.com/g/gwen_stefani/sweet_escape_ver3_crd.htm,Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7 Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7 Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7 Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7 Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Am Cmaj D7 Fmaj Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7 Cmaj Gmaj Am Em Dm7 Dm7 Gmaj G7,Em Dm7,Gmaj G7,D7 Fmaj
3,Fergie,BIG GIRLS DON'T CRY,211.0,https://tabs.ultimate-guitar.com/f/fergie/big_girls_dont_cry_ver5_crd.htm,G/B C D G/B C D D|--X---X-----0----------X---X-----0------| G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C C G D D C G D Em C G D Em C G D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C D G/B C C G D D C G D Em C G D Em C G D G/B C D G G/Gb C C G G/Gb C G G/Gb C C G G/Gb C G/Gb G C G/Gb G C C C G D D C G D Em C G D Em C G D G/B C D G/B C D,D|--X---X-----0----------X---X-----0------| G/B,G G/Gb,D G
4,Carrie Underwood,BEFORE HE CHEATS,303.0,https://tabs.ultimate-guitar.com/c/carrie_underwood/before_he_cheats_ver4_crd.htm,Em D C D Em D C B Em D C B Em D C B Em D C B A B C Em C Em C Em B C Em C Em C B Em D C B Em D C B Em D C B Em D C B A B C Em C Em C Em B C Em C Em C B Em G D C A B Em D C B Em D C B C Em C Em C Em B C Em C Em C B A C B Em D C B Em D C B Em,G D,B A,A B
5,Plain White T's,HEY THERE DELILAH,2978.0,https://tabs.ultimate-guitar.com/p/plain_white_ts/hey_there_delilah_ver3_crd.htm,D F#m D F#m D F#m D F#m Bm G A Bm A D F#m D F#m Bm G A Bm A D Bm D Bm A D Bm D Bm D D F#m D F#m Bm G A Bm A D F#m D F#m Bm G A Bm A D Bm D Bm A D Bm D Bm A G A D Bm G A D Bm G A Bm A D F#m D F#m Bm G A Bm G A Bm G A Bm A D Bm D Bm A D Bm D Bm D Bm D Bm D Bm D Bm D D,G A,D F#m,Bm G
6,Akon Featuring Snoop Dogg,I WANNA LOVE YOU,14.0,https://tabs.ultimate-guitar.com/a/akon/i_wanna_love_you_crd.htm,Am Em F G/B,Em F,F G/B,Am Em
7,Nelly Furtado,SAY IT RIGHT,29.0,https://tabs.ultimate-guitar.com/n/nelly_furtado/say_it_right_crd.htm,Em Fm G G# C C# D D# D#sus4 Em D C D-Dsus4 Em G C D Em G C D Em G C D Em G C D Dsus4 Em D C D-Dsus4(make Em D C D-Dsus4 Em D C D-Dsus4 Em D C Dsus4 Em G C D Em G C D Em G C D Em G C D Dsus4 Em D C D-Dsus4 Em D C D-Dsus4 Em D C D-Dsus4 Em D C D-Dsus4 Em G C D Em G C D Em G C A D Em G C D Em D C D-Dsus4,D# D#sus4,Dsus4 Em,Fm G
8,Fergie Featuring Ludacris,GLAMOROUS,12.0,https://tabs.ultimate-guitar.com/f/fergie/glamorous_crd.htm,Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A,D A,G D,Bm G
9,Akon,DON'T MATTER,31.0,https://tabs.ultimate-guitar.com/a/akon/dont_matter_ver4_crd.htm,A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A E F#m D A-E-F#m-D) A-E-F#m-D) A-E-F#m-D) A-E-F#m-D),F#m D,E F#m,D A
